cid	Job Title	STYRK 08	STYRK 08 label
67032	Akademiske yrke	2	Akademiske yrker
67037	Realistar, sivilingeniørar mm.	21	Realistar, sivilingeniørar mm.
67038	Fysikarar, kjemikarar mm.	211	Fysikarar, kjemikarar mm.
23083	Astrofysiker	2111	Fysikarar og astronomar
23082	Astronom	2111	Fysikarar og astronomar
66204	Fysikarar og astronomar	2111	Fysikarar og astronomar
129036	Forskningsrådgiver (fysikk og astronomi)	2111	Fysikarar og astronomar
55455	Sivilingeniør (akustikk)	2111	Fysikarar og astronomar
119728	Statsmeteorolog	2112	Meteorologar
22872	Meteorolog	2112	Meteorologar
76333	Yrker innen meteorologi	2112	Meteorologar
119723	Meteorolog (værvarsling)	2112	Meteorologar
257816	Sjefskonsulent (meteorologi)	2112	Meteorologar
56518	Geokjemiker	2113	Kjemikarar
19946	Kjemiker	2113	Kjemikarar
19951	Biokjemiker	2113	Kjemikarar
151912	Oseanograf (geofysikk)	2114	Geologar og geofysikarar
116477	Seismolog	2114	Geologar og geofysikarar
116275	Petroleumsgeologe	2114	Geologar og geofysikarar
67620	Hydrolog	2114	Geologar og geofysikarar
116501	Statshydrolog	2114	Geologar og geofysikarar
23093	Geolog	2114	Geologar og geofysikarar
39703	Geofysiker	2114	Geologar og geofysikarar
41914	Paleontolog	2114	Geologar og geofysikarar
101532	Marin geolog	2114	Geologar og geofysikarar
66206	Geologar og geofysikarar	2114	Geologar og geofysikarar
101523	Havforsker	2114_x000D_
2131	Geologar og geofysikarar_x000D_
Biologar, botanikarar, zoologar mm.
23092	Geograf	2114_x000D_
2632	Geologar og geofysikarar_x000D_
Rådgjevarar/forskarar, samfunnsvitskap
113256	Arkitekt (byggesaksbehandler)	2116	
66208	Matematikarar, statistikarar mm.	212_x000D_
2120	Matematikarar, statistikarar mm._x000D_
Matematikarar, statistikarar mm.
70133	Forsker (matematikk)	2120	Matematikarar, statistikarar mm.
21246	Statistiker	2120	Matematikarar, statistikarar mm.
21251	Aktuar	2120	Matematikarar, statistikarar mm.
60529	Aktuar (forsikringsmatematiker)	2120	Matematikarar, statistikarar mm.
115905	Forsker (statistikk)	2120	Matematikarar, statistikarar mm.
21245	Matematiker	2120	Matematikarar, statistikarar mm.
116358	Entomolog	2131	Biologar, botanikarar, zoologar mm.
41881	Zoolog	2131	Biologar, botanikarar, zoologar mm.
101161	Marinbiolog	2131	Biologar, botanikarar, zoologar mm.
39456	Botaniker	2131	Biologar, botanikarar, zoologar mm.
205763	Fiskehelsebiolog	2131	Biologar, botanikarar, zoologar mm.
269223	Fiskerikandidat	2131	Biologar, botanikarar, zoologar mm.
23238	Biolog	2131	Biologar, botanikarar, zoologar mm.
52449	Cellebiolog	2131	Biologar, botanikarar, zoologar mm.
66210	Biologar, botanikarar, zoologar mm.	2131	Biologar, botanikarar, zoologar mm.
23239	Mikrobiolog	2131	Biologar, botanikarar, zoologar mm.
101190	Mykolog	2131	Biologar, botanikarar, zoologar mm.
39404	Bakteriolog	2131	Biologar, botanikarar, zoologar mm.
101160	Limnolog	2131	Biologar, botanikarar, zoologar mm.
41883	Ornitolog	2131	Biologar, botanikarar, zoologar mm.
101157	Fiskebiolog	2131	Biologar, botanikarar, zoologar mm.
269229	Fiskerrådgiver	2131	Biologar, botanikarar, zoologar mm.
53434	Virolog	2131	Biologar, botanikarar, zoologar mm.
52448	Mammalog	2131	Biologar, botanikarar, zoologar mm.
22622	Inseminør	2131_x000D_
6121	Biologar, botanikarar, zoologar mm._x000D_
Mjølke- og husdyrprodusentar
65649	Sivilagronomar mm.	2132	Sivilagronomar mm.
40376	Sivilagronom	2132	Sivilagronomar mm.
20069	Natur- og miljøforsker	2133	Miljøvernrådgivarar
100243	Sivilingeniør vannressursforvaltning	2133	Miljøvernrådgivarar
22917	Miljørådgiver	2133	Miljøvernrådgivarar
52454	Økolog	2133	Miljøvernrådgivarar
269254	Naturforvalter	2133_x000D_
2143	Miljøvernrådgivarar_x000D_
Sivilingeniørar (miljøteknikk)
67041	Sivilingeniørar (unntatt elektroteknologi)	214	Sivilingeniørar (unntatt elektroteknologi)
66211	Sivilingeniørar (industri og produksjon)	2141	Sivilingeniørar (industri og produksjon)
238780	Overingeniør	2142	Sivilingeniørar (bygg og anlegg)
22239	Sivilingeniør (integrert bygningsteknologi)	2142	Sivilingeniørar (bygg og anlegg)
20063	Produksjonsingeniør	2142	Sivilingeniørar (bygg og anlegg)
20027	Ingeniør	2142	Sivilingeniørar (bygg og anlegg)
67701	Eiendomsrådgiver	2142_x000D_
2161_x000D_
3315	Sivilingeniørar (bygg og anlegg)_x000D_
Sivilarkitektar_x000D_
Takstmenn
152037	Seniorrådgiver (sivilingeniør, bygg og anlegg)	2142_x000D_
3112	Sivilingeniørar (bygg og anlegg)_x000D_
Bygningsingeniørar
20030	Bygningsingeniør	2142_x000D_
3112	Sivilingeniørar (bygg og anlegg)_x000D_
Bygningsingeniørar
35607	Sivilingeniør (miljøteknikk)	2143	Sivilingeniørar (miljøteknikk)
102153	Sjøfartsingeniør	2144	Sivilingeniørar (maskin- og marin-teknikk)
20552	Sivilingeniør (maskinteknikk)	2144_x000D_
3115	Sivilingeniørar (maskin- og marin-teknikk)_x000D_
Maskiningeniørar
55437	Skipsingeniør	2144_x000D_
3115	Sivilingeniørar (maskin- og marin-teknikk)_x000D_
Maskiningeniørar
20033	Kjemiingeniør	2145_x000D_
3116	Sivilingeniørar (kjemi)_x000D_
Kjemiingeniørar
241634	Petroleumsingeniør	2146	Sivilingeniørar (geofag, petroleumsteknologi, metallurgi mm.)
66214	Sivilingeniørar (geofag, petroleumsteknologi, metallurgi mm.)	2146	Sivilingeniørar (geofag, petroleumsteknologi, metallurgi mm.)
54474	Gruveingeniør	2146_x000D_
8111	Sivilingeniørar (geofag, petroleumsteknologi, metallurgi mm.)_x000D_
Bergfagarbeidarar
268877	Marin bioteknolog	2149	Andre sivilingeniørar (unntatt elektroteknologi)
22991	Bioteknolog	2149_x000D_
3141	Andre sivilingeniørar (unntatt elektroteknologi)_x000D_
Bioteknikarar (ikkje-medisinske laboratorium)
67048	Sivilingeniørar elektroteknologi	215	Sivilingeniørar elektroteknologi
40410	Elektroingeniør	2151_x000D_
2152_x000D_
3113_x000D_
3114	Sivilingeniørar (elkraftteknikk)_x000D_
Sivilingeniørar (elektronikk)_x000D_
Elkraftingeniørar_x000D_
Elektronikkingeniørar
69993	Utvikler datavarehus	2152	Sivilingeniørar (elektronikk)
315356	Elektronikkingeniør	2152_x000D_
3114	Sivilingeniørar (elektronikk)_x000D_
Elektronikkingeniørar
20068	Telekommunikasjonsingeniør	2153_x000D_
3114	Sivilingeniørar (telekommunikasjon)_x000D_
Elektronikkingeniørar
67049	Arkitektar, designarar mm.	216	Arkitektar, designarar mm.
19623	Arkitekt	2161	Sivilarkitektar
19624	Interiørarkitekt	2161	Sivilarkitektar
19627	Landskapsarkitekt	2162	Landskapsarkitektar
19997	Designer (Tekstil)	2163	Produkt- og klesdesignarar
20008	Møbeldesigner	2163	Produkt- og klesdesignarar
68671	Klesdesigner herreklær	2163	Produkt- og klesdesignarar
19999	Klesdesigner	2163	Produkt- og klesdesignarar
20005	Industridesigner	2163	Produkt- og klesdesignarar
162366	Produkt- og klesdesignarar	2163	Produkt- og klesdesignarar
68675	Klesdesigner dameklær	2163	Produkt- og klesdesignarar
19628	Arealplanlegger	2164	Arealplanleggjarar
99825	Byplanlegger	2164	Arealplanleggjarar
66567	Samfunns- og trafikkplanleggere	2164	Arealplanleggjarar
99934	Topograf	2165	Landmålarar, kartografar mm.
20595	Geodet	2165	Landmålarar, kartografar mm.
99945	Sivilingeniør (kart og oppmåling)	2165	Landmålarar, kartografar mm.
20519	Landmåler	2165	Landmålarar, kartografar mm.
66568	Landmålarar, kartografar mm.	2165	Landmålarar, kartografar mm.
23514	Landmålerlærling	2165	Landmålarar, kartografar mm.
115627	Landmåler (tekniker jordskifte)	2165	Landmålarar, kartografar mm.
55018	Brukergrensesnittdesigner	2166	Grafiske- og multimediadesignarar
238789	Brukeropplevelsesdesigner	2166	Grafiske- og multimediadesignarar
127426	Mediedesignlærling	2166	Grafiske- og multimediadesignarar
157519	Multimediadesigner	2166	Grafiske- og multimediadesignarar
27185	Interaksjonsdesigner	2166	Grafiske- og multimediadesignarar
19984	Web Designer	2166	Grafiske- og multimediadesignarar
55835	Mediedesigner	2166	Grafiske- og multimediadesignarar
66571	Grafiske- og multimediadesignarar	2166	Grafiske- og multimediadesignarar
19982	Grafisk designer	2166	Grafiske- og multimediadesignarar
92908	Visualiserer	2166	Grafiske- og multimediadesignarar
67050	Medisinske yrke	22	Medisinske yrke
157198	Turnuslege	2211	Allmennpraktiserande legar
21468	Lege	2211	Allmennpraktiserande legar
70768	Bedriftslege	2211	Allmennpraktiserande legar
250436	Bydelslege	2211	Allmennpraktiserande legar
119840	Kommunelege	2211	Allmennpraktiserande legar
21470	Allmennpraktiker	2211	Allmennpraktiserande legar
250233	Assisterende overlege	2211	Allmennpraktiserande legar
107200	Skolelege	2211	Allmennpraktiserande legar
170694	Folkehelserådgiver	2211_x000D_
2212_x000D_
2265	Allmennpraktiserande legar_x000D_
Legespesialistar_x000D_
Ernæringsfysiologar
41889	Ortoped	2212	Legespesialistar
21521	Revmatolog	2212	Legespesialistar
21493	Gastroenterolog	2212	Legespesialistar
21508	Onkolog	2212	Legespesialistar
21511	Nukleærmedisiner	2212	Legespesialistar
21510	Nevrolog	2212	Legespesialistar
48179	Audiolog	2212	Legespesialistar
48911	Plastikkirurg	2212	Legespesialistar
21502	Psykiater	2212	Legespesialistar
265554	Bryst- og endokrinkirurg	2212	Legespesialistar
107341	Overlege	2212	Legespesialistar
21495	Hematolog	2212	Legespesialistar
21476	Gynekolog	2212	Legespesialistar
21481	Arbeidsmedisiner	2212	Legespesialistar
21475	Øyelege	2212	Legespesialistar
21498	Indremedisiner	2212	Legespesialistar
21488	Urolog	2212	Legespesialistar
21471	Barnelege	2212	Legespesialistar
21484	Barnekirurg	2212	Legespesialistar
21491	Dermatolog	2212	Legespesialistar
21518	Radiolog	2212	Legespesialistar
21482	Kirurg	2212	Legespesialistar
69983	Geriater	2212	Legespesialistar
21515	Patolog	2212	Legespesialistar
