(felles) digital læringsplattform	searvvušlaš bargoneavvut, searválas bargoneavvut
ABO gruppering, blodtypesystem	ABO-varrajoavkkut
AV-sentral	AV-guovddáš
Abelsborg	Áppošborri
Additiv	additiiva
Advik	Átteváhki
Afrika	Afrihká
Akkarfjord	Áhkárvuotna
Algerier	algerialaš
Alteidet	Duikkášmuotki
Altesula	Álpesuolu
Altevatnet	Álttesjávri
Andorraner	andorralaš, andorrálaš
Andørja	Áttir
Andøy	Ánddasuolu
Arnøy	Árdni - Stuorra Árdni
Bergsfjord	Johka
Berlevåg	Bearalváhki
Biedjovággi	Biedjovággi
Billefjordelv	Billájohka
Bjørnevatn	Guovžajávri
Bjørnevatnet	Guvžajávri
Braselv	Guolleveadji
Breivikbotn	Goahtečorru
Brennelva	Lavttejohka
Bringneshalvøya	Vuohpošnjárga
Bugøyfjorden	Reaisavuotna
Bussesund	Ladnečoalbmi
Båtsfjord	Báhcavuotna
Børselv	Bissojohka
CDI-boks	cahkkehanboksa
Dividalen	Dieváidvuovdi
Divielva	Dieváideatnu
Dorvinjarga	Dorvonjárga
Dyfjord	Dáigevuotna
Dyrøy	Divrrák
EDB-avdeling	dihtorossodat
EDB-konsulent	dihtorneavvu
EKG	elektrokardiográmma, EKG
Efjorden	Áhtávuotna
Enare	Anár
Finland	Suopma
Fremskrittspartiet	Ovddádusbellodat
HDL-kolesterol	HDL-kolesterola
Handelskompaniet	Gávpesearvi
Havøya	Ávva
Helgøya	Áilu
Høyesterett	Alimusriekti
Jukkasjärvi	Čohkkiras
Kiberg	Biergi
Kjerringdalen	Áhkkávággi
Kjølmangen	Čoalbmi
LDL-kolesterol	LDL-kolesterola
Lenvikmarka	Duorga
Lille Tamsøya	Ávačuohttu
Lov om pliktmessig avhold	čielggusvuođa geatnegahtti láhka
Magerøya	Máhkarávju
Mehamn	Donjevuotna
Meskelv	Álddanjárga
Meskelva	Álddajohka
Møtet er satt.	Čoahkkin lea álggahuvvon.
Nesseby	Unjárga
Nordsjøen	Davvimearra
Norge	Norga
Nuvsvåg	Cuokcavuotna
Oksfjorddalen	Ákšovuonvuopmi
Oteren	Čávkos
Pasvik	Báhčaveadji
Porsa	Borsi
Reindriftsloven	Boazodoalloláhka
Sevettijärvi	Čeavetjávri
Signaldalen	Čiekŋalvággi
