jienastatlohku	jienastuslohku
jienastuslogudiehtu	lohko
jienastuslogumahtodat	lohko
jienastusloguovdáneapmi	lohko
jienastuslogusturrodat	lohko
kapasiteahtahuksen	kapasiteahttahuksen
konsultašuvnnačoahkkin	konsultašuvdnačoahkkin
kvaliteahtadárkkisteapmi	kvaliteahttadárkkisteapmi
matematihkaoahpahus	matematihkkaoahpahus
maŋŋelgaskabeaivvesátta	maŋŋelgaskabeaisátta
militearaválddigomiheapmi	militearaváldegomiheapmi
oahpaheaddjeskuvllaeksámen	skuvlaeksámen
oahpahusbuohcciruoktu	oahpahusbuohcceruoktu
oamibiergu	oamebiergu
ollesjagiváikkuhus	jage
ođđajagisárdni	jage
predikatiivvahápmi	predikatiivahápmi
prinsihpaoassi	prinsihppaoassi
reaiddoulbmil	reaidoulbmil
resurssabidju	resursabidju
revisoraduođaštus	revisorduođaštus
riddonjurjohálddašeapmi	riddonjuorjjohálddašeapmi
riektegaskaoamijulggaštus	riektegaskaoapmejulggaštus
rivguváhnen	rivgo
ruovddedássi	ruovdedássi
ruovddesisdoallu	ruovdesisdoallu
ruovttooahpahus	ruovttuoahpahus
ruovttuluottabuktinášši	ruovttoluottabuktinášši
sarritsoahkevuovdi??????
sohkabealedeaddu	bealle
sohkabealedássetvuohta	bealle
sohkabealeperspektiiva	bealle
sohkabealečohkkehus	bealle
vihttajagigaskkadat	jage
vuođđolágadokumeanta	láhka
vuođđolágaevttohus	láhka
vuođđolágarievdadus	láhka
čuohtejagimolsun	jage
čáhcevulošfanas	čázevulošfanas
